Question,Answer,Source
What food is offered at breakfast?,Breakfast includes bread, sausage, baked beans, eggs and tea of course,AA1.docx
How many slices of bread am l allowed to eat?,You can take as many slices of bread as you like,AA1.docx
What happens if l do not eat the foods that are listed for breakfast?,You have to consult the canteen supervisor and he will assist you by giving you alternatives like rice and eggs but we need a solid reason as to why you do not eat those foods. A recommendation from the doctor will do.,AA1.docx
What time do we have breakfast?,Breakfast starts at 07:00 up to 08:00 on week days and 08:00 to 09:00 during weekends,AA1.docx
What time does the canteen open on national holidays?,Breakfast starts at 08:00 up to 09:00,AA1.docx
What time is the lunch/canteen open in the afternoon?,It opens at 12:30 up to 14:00,AA1.docx
What happens if l come to the canteen at 1 o'clock in the afternoon?,The canteen will be open for lunch,AA1.docx
What time does the canteen close?,The canteen closes at 18:30 after supper,AA1.docx
Am l allowed to take food out of the canteen in lunchboxes?,Yes you are allowed though it is not recommended since there are some health harzads.,AA1.docx
Health harzads like what?,If the lunchboxes are not cleaned properly, they may cause diseases like typhoid.,AA1.docx
Doesn't sharing spoons and forks (cutlery) spread diseases?,No it does not as our cutlery is cleaned using detergents,AA1.docx
Do you have potatoes on your menu?,Yes we have it only in the form of potato chips,AA1.docx
Do you have pork on your menu?,No we do not offer pork but you can try our nice beef  \n**GREETINGS**  \nHie  \nHie how are you doing  \nHello/hey,AA1.docx
How are you today,Ok thanks  \nIts my pleasure  \nThank you for your help  \nOk have a good one,AA1.docx
How do you do,Kkkkkkkkkk  \nI do not know what that means,AA1.docx
Hi,Hello,Editorial
